Col_0;Col_1;Col_2;Col_3;Col_4;Col_5;Col_6;Col_7;Col_8;Col_9
67.64085850878502;2.9353701761013262;66.77624660061423;44.86721368093799;7.079528259972423;94.54726434579348;36.55446739411402;99.5708815059789;80.5720778810198;37.81181158550931
59.17340122017599;94.09169194756124;29.021945294609154;66.83198401262476;27.33943755548619;93.31252266175905;69.93690282084208;76.45967769409108;32.509102606064644;92.06375199466729
;68.6144861072471;35.755171900104784;34.86506644519353;98.49014948444827;69.77756013588386;83.63270319467321;31.813948834036545;87.91836606137365;9.689525964219147
;91.4162074680029;40.153880063631085;77.55651118524086;6.232221790996162;46.75989769747944;20.012959901325523;24.91429444090204;5.672085822841366;16.23983181586688
79.32350026894535;24.750717277415024;57.996304949201395;24.244907411236262;30.70971918950499;;53.248897298812956;59.29992540674755;22.93765568676519;52.71172162727504
;68.95699614759123;;33.77130102307664;86.5716868054028;19.317485335962935;39.68045794342099;62.56473433866737;37.539601322925144;91.00108742197568
7.300436983165282;81.20484551964759;53.89567614480678;87.99945846684496;75.9329693364132;46.32747637915817;50.02987485659492;77.41781432815986;65.12978754657838;10.707924039093752
;8.604996323275893;20.744187214962594;79.26180893744117;46.28801737871031;90.10831709454612;40.34700729750356;86.39596895600276;2.0666647747938804;61.52783426954228
37.41640320415514;0.6808160960869003;97.8638274497472;33.17541272955238;81.99372548643082;67.53401623226064;63.38550152290638;12.052012335308904;44.05326630381949;76.89747367436627
33.71606425716581;63.04180160944208;15.175975988781044;72.48797166185557;;58.37642303185206;59.527205208701815;87.30006923519382;15.612553491784587;14.166133129157298
40.91671630081407;31.486021664204067;30.313778436098694;78.15838198763251;50.94729289679948;72.55256393963607;68.38572308952567;32.153349048409616;31.810695662582912;12.198349132801134
85.4226849864708;11.455332457986101;14.999469774090946;;30.911049765465968;81.80523262919179;33.09842833404038;57.485225487452816;7.935025025953313;40.65875865952165
47.13397023556411;15.46630231807865;33.54679458626707;55.59371448558248;44.0955882106254;52.12339480990532;43.87113602888094;97.99980882464487;19.07397324952259;40.283377198831715
28.62786124979204;9.221877671556067;61.71680605940547;92.16704898800091;53.774068370126436;74.84481463840393;57.23448385838741;35.316253115454884;0.13761323318848273;23.999293530079278
51.73123826897653;3.2801572884044394;46.74789333780603;16.18159472863201;71.83799320608266;2.907587445545279;93.00291480553419;21.29946491295913;38.575322852180285;80.29826474507139
26.134409629702017;74.34440393479788;32.48069062675539;84.13566281064975;42.873000590091635;7.983777684430238;39.16198970020497;50.86837703368212;8.496947361355788;51.04732724930153
